id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_ubi_jalar,satuan,tahun
83,32,JAWA BARAT,3203,KABUPATEN CIANJUR,9967,TON,2016
84,32,JAWA BARAT,3204,KABUPATEN BANDUNG,29445,TON,2016
85,32,JAWA BARAT,3205,KABUPATEN GARUT,127977,TON,2016
86,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,28949,TON,2016
87,32,JAWA BARAT,3207,KABUPATEN CIAMIS,9282,TON,2016
88,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,156727,TON,2016
89,32,JAWA BARAT,3209,KABUPATEN CIREBON,7471,TON,2016
90,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,19365,TON,2016
91,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,22917,TON,2016
92,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,706,TON,2016
93,32,JAWA BARAT,3213,KABUPATEN SUBANG,1782,TON,2016
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4517,TON,2016
95,32,JAWA BARAT,3215,KABUPATEN KARAWANG,121,TON,2016
96,32,JAWA BARAT,3216,KABUPATEN BEKASI,338,TON,2016
97,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5424,TON,2016
98,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,638,TON,2016
99,32,JAWA BARAT,3271,KOTA BOGOR,1601,TON,2016
100,32,JAWA BARAT,3272,KOTA SUKABUMI,380,TON,2016
101,32,JAWA BARAT,3273,KOTA BANDUNG,277,TON,2016
102,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2016
103,32,JAWA BARAT,3275,KOTA BEKASI,164,TON,2016
104,32,JAWA BARAT,3276,KOTA DEPOK,40,TON,2016
105,32,JAWA BARAT,3277,KOTA CIMAHI,125,TON,2016
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,95,TON,2016
107,32,JAWA BARAT,3279,KOTA BANJAR,674,TON,2016
108,32,JAWA BARAT,3201,KABUPATEN BOGOR,69057,TON,2017
109,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,14669,TON,2017
110,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6758,TON,2017
111,32,JAWA BARAT,3204,KABUPATEN BANDUNG,40908,TON,2017
112,32,JAWA BARAT,3205,KABUPATEN GARUT,139164,TON,2017
113,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,20717,TON,2017
114,32,JAWA BARAT,3207,KABUPATEN CIAMIS,4597,TON,2017
115,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,196334,TON,2017
116,32,JAWA BARAT,3209,KABUPATEN CIREBON,4553,TON,2017
117,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,18044,TON,2017
118,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14984,TON,2017
119,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,34,TON,2017
120,32,JAWA BARAT,3213,KABUPATEN SUBANG,1724,TON,2017
121,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4391,TON,2017
122,32,JAWA BARAT,3215,KABUPATEN KARAWANG,30,TON,2017
123,32,JAWA BARAT,3216,KABUPATEN BEKASI,187,TON,2017
124,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6368,TON,2017
125,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,727,TON,2017
126,32,JAWA BARAT,3271,KOTA BOGOR,2206,TON,2017
127,32,JAWA BARAT,3272,KOTA SUKABUMI,420,TON,2017
128,32,JAWA BARAT,3273,KOTA BANDUNG,111,TON,2017
129,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2017
130,32,JAWA BARAT,3275,KOTA BEKASI,56,TON,2017
131,32,JAWA BARAT,3276,KOTA DEPOK,152,TON,2017
132,32,JAWA BARAT,3277,KOTA CIMAHI,113,TON,2017
133,32,JAWA BARAT,3278,KOTA TASIKMALAYA,605,TON,2017
134,32,JAWA BARAT,3279,KOTA BANJAR,971,TON,2017
135,32,JAWA BARAT,3201,KABUPATEN BOGOR,70622,TON,2018
136,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,13502,TON,2018
137,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7628,TON,2018
138,32,JAWA BARAT,3204,KABUPATEN BANDUNG,33120,TON,2018
139,32,JAWA BARAT,3205,KABUPATEN GARUT,155336,TON,2018
140,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,19363,TON,2018
141,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5034,TON,2018
142,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,147945,TON,2018
143,32,JAWA BARAT,3209,KABUPATEN CIREBON,8024,TON,2018
144,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,13328,TON,2018
145,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,13631,TON,2018
146,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,68,TON,2018
