id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_areal_tanam,satuan,tahun
76,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2017
77,32,JAWA BARAT,3275,KOTA BEKASI,8,HEKTAR,2017
78,32,JAWA BARAT,3276,KOTA DEPOK,20,HEKTAR,2017
79,32,JAWA BARAT,3277,KOTA CIMAHI,13,HEKTAR,2017
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,50,HEKTAR,2017
81,32,JAWA BARAT,3279,KOTA BANJAR,60,HEKTAR,2017
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,3016,HEKTAR,2018
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,777,HEKTAR,2018
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,339,HEKTAR,2018
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1322,HEKTAR,2018
86,32,JAWA BARAT,3205,KABUPATEN GARUT,5486,HEKTAR,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,908,HEKTAR,2018
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,246,HEKTAR,2018
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4632,HEKTAR,2018
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,268,HEKTAR,2018
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,409,HEKTAR,2018
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,792,HEKTAR,2018
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,4,HEKTAR,2018
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,130,HEKTAR,2018
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,235,HEKTAR,2018
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1,HEKTAR,2018
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,9,HEKTAR,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,465,HEKTAR,2018
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,42,HEKTAR,2018
100,32,JAWA BARAT,3271,KOTA BOGOR,171,HEKTAR,2018
101,32,JAWA BARAT,3272,KOTA SUKABUMI,22,HEKTAR,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,10,HEKTAR,2018
103,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2018
104,32,JAWA BARAT,3275,KOTA BEKASI,4,HEKTAR,2018
105,32,JAWA BARAT,3276,KOTA DEPOK,4,HEKTAR,2018
106,32,JAWA BARAT,3277,KOTA CIMAHI,10,HEKTAR,2018
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,61,HEKTAR,2018
108,32,JAWA BARAT,3279,KOTA BANJAR,75,HEKTAR,2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,2298,HEKTAR,2019
