id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_panen,satuan,tahun
76,32,JAWA BARAT,3274,KOTA CIREBON,2,HEKTAR,2017
77,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2017
78,32,JAWA BARAT,3276,KOTA DEPOK,21,HEKTAR,2017
79,32,JAWA BARAT,3277,KOTA CIMAHI,7,HEKTAR,2017
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,71,HEKTAR,2017
81,32,JAWA BARAT,3279,KOTA BANJAR,69,HEKTAR,2017
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,866,HEKTAR,2018
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2470,HEKTAR,2018
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4183,HEKTAR,2018
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,522,HEKTAR,2018
86,32,JAWA BARAT,3205,KABUPATEN GARUT,10053,HEKTAR,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2245,HEKTAR,2018
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,604,HEKTAR,2018
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,409,HEKTAR,2018
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,73,HEKTAR,2018
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,384,HEKTAR,2018
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2950,HEKTAR,2018
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,28,HEKTAR,2018
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,410,HEKTAR,2018
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,182,HEKTAR,2018
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7,HEKTAR,2018
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,47,HEKTAR,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,374,HEKTAR,2018
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,122,HEKTAR,2018
