id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_ubi_kayu,satuan,tahun
83,32,JAWA BARAT,3203,KABUPATEN CIANJUR,183260,TON,2016
84,32,JAWA BARAT,3204,KABUPATEN BANDUNG,81136,TON,2016
85,32,JAWA BARAT,3205,KABUPATEN GARUT,539436,TON,2016
86,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,193798,TON,2016
87,32,JAWA BARAT,3207,KABUPATEN CIAMIS,79329,TON,2016
88,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,52786,TON,2016
89,32,JAWA BARAT,3209,KABUPATEN CIREBON,42,TON,2016
90,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,8009,TON,2016
91,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,154483,TON,2016
92,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1897,TON,2016
93,32,JAWA BARAT,3213,KABUPATEN SUBANG,14467,TON,2016
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,71604,TON,2016
95,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1709,TON,2016
96,32,JAWA BARAT,3216,KABUPATEN BEKASI,2330,TON,2016
97,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,69124,TON,2016
98,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5588,TON,2016
99,32,JAWA BARAT,3271,KOTA BOGOR,2418,TON,2016
100,32,JAWA BARAT,3272,KOTA SUKABUMI,901,TON,2016
101,32,JAWA BARAT,3273,KOTA BANDUNG,291,TON,2016
102,32,JAWA BARAT,3274,KOTA CIREBON,73,TON,2016
103,32,JAWA BARAT,3275,KOTA BEKASI,477,TON,2016
104,32,JAWA BARAT,3276,KOTA DEPOK,1342,TON,2016
105,32,JAWA BARAT,3277,KOTA CIMAHI,544,TON,2016
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1425,TON,2016
107,32,JAWA BARAT,3279,KOTA BANJAR,998,TON,2016
108,32,JAWA BARAT,3201,KABUPATEN BOGOR,140780,TON,2017
109,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,200107,TON,2017
110,32,JAWA BARAT,3203,KABUPATEN CIANJUR,101500,TON,2017
111,32,JAWA BARAT,3204,KABUPATEN BANDUNG,92290,TON,2017
112,32,JAWA BARAT,3205,KABUPATEN GARUT,752894,TON,2017
113,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,195357,TON,2017
114,32,JAWA BARAT,3207,KABUPATEN CIAMIS,42580,TON,2017
115,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,50652,TON,2017
116,32,JAWA BARAT,3209,KABUPATEN CIREBON,176,TON,2017
117,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5748,TON,2017
118,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,192982,TON,2017
119,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,7494,TON,2017
120,32,JAWA BARAT,3213,KABUPATEN SUBANG,12705,TON,2017
121,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,34420,TON,2017
122,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2368,TON,2017
123,32,JAWA BARAT,3216,KABUPATEN BEKASI,1268,TON,2017
124,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,54884,TON,2017
125,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1451,TON,2017
126,32,JAWA BARAT,3271,KOTA BOGOR,5142,TON,2017
127,32,JAWA BARAT,3272,KOTA SUKABUMI,370,TON,2017
128,32,JAWA BARAT,3273,KOTA BANDUNG,215,TON,2017
129,32,JAWA BARAT,3274,KOTA CIREBON,73,TON,2017
130,32,JAWA BARAT,3275,KOTA BEKASI,219,TON,2017
131,32,JAWA BARAT,3276,KOTA DEPOK,969,TON,2017
132,32,JAWA BARAT,3277,KOTA CIMAHI,573,TON,2017
133,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3707,TON,2017
134,32,JAWA BARAT,3279,KOTA BANJAR,509,TON,2017
135,32,JAWA BARAT,3201,KABUPATEN BOGOR,124624,TON,2018
136,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,124973,TON,2018
137,32,JAWA BARAT,3203,KABUPATEN CIANJUR,92004,TON,2018
138,32,JAWA BARAT,3204,KABUPATEN BANDUNG,99451,TON,2018
139,32,JAWA BARAT,3205,KABUPATEN GARUT,557601,TON,2018
140,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,177184,TON,2018
141,32,JAWA BARAT,3207,KABUPATEN CIAMIS,61339,TON,2018
142,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,83218,TON,2018
143,32,JAWA BARAT,3209,KABUPATEN CIREBON,367,TON,2018
144,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4749,TON,2018
145,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,171406,TON,2018
146,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1418,TON,2018
147,32,JAWA BARAT,3213,KABUPATEN SUBANG,10991,TON,2018
148,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,28423,TON,2018
149,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1246,TON,2018
150,32,JAWA BARAT,3216,KABUPATEN BEKASI,897,TON,2018
151,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,58073,TON,2018
152,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,834,TON,2018
153,32,JAWA BARAT,3271,KOTA BOGOR,7663,TON,2018
154,32,JAWA BARAT,3272,KOTA SUKABUMI,255,TON,2018
155,32,JAWA BARAT,3273,KOTA BANDUNG,358,TON,2018
156,32,JAWA BARAT,3274,KOTA CIREBON,181,TON,2018
157,32,JAWA BARAT,3275,KOTA BEKASI,137,TON,2018
158,32,JAWA BARAT,3276,KOTA DEPOK,670,TON,2018
159,32,JAWA BARAT,3277,KOTA CIMAHI,358,TON,2018
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2851,TON,2018
161,32,JAWA BARAT,3279,KOTA BANJAR,1593,TON,2018
162,32,JAWA BARAT,3201,KABUPATEN BOGOR,119166,TON,2019
163,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,134248,TON,2019
164,32,JAWA BARAT,3203,KABUPATEN CIANJUR,89342,TON,2019
165,32,JAWA BARAT,3204,KABUPATEN BANDUNG,56667,TON,2019
166,32,JAWA BARAT,3205,KABUPATEN GARUT,607869,TON,2019
167,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,56728,TON,2019
168,32,JAWA BARAT,3207,KABUPATEN CIAMIS,102851,TON,2019
169,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,38869,TON,2019
170,32,JAWA BARAT,3209,KABUPATEN CIREBON,600,TON,2019
171,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7449,TON,2019
