id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_kacang_hijau,satuan,tahun
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,100,TON,2018
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2018
86,32,JAWA BARAT,3205,KABUPATEN GARUT,957,TON,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,134,TON,2018
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,4450,TON,2018
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,11,TON,2018
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,2466,TON,2018
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2699,TON,2018
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,73,TON,2018
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,541,TON,2018
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,232,TON,2018
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,91,TON,2018
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,303,TON,2018
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,3,TON,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,25,TON,2018
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,765,TON,2018
100,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2018
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2018
103,32,JAWA BARAT,3274,KOTA CIREBON,4,TON,2018
104,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2018
105,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2018
106,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2018
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2018
108,32,JAWA BARAT,3279,KOTA BANJAR,164,TON,2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,54,TON,2019
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,65,TON,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,111,TON,2019
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2019
113,32,JAWA BARAT,3205,KABUPATEN GARUT,1178,TON,2019
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,83,TON,2019
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,203,TON,2019
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,117,TON,2019
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,1409,TON,2019
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1763,TON,2019
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,61,TON,2019
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,380,TON,2019
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,283,TON,2019
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,76,TON,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1520,TON,2019
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,3,TON,2019
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20,TON,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,85,TON,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2019
128,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2019
130,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2019
131,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2019
132,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2019
133,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2019
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2019
135,32,JAWA BARAT,3279,KOTA BANJAR,33,TON,2019
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,16,TON,2020
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,719,TON,2020
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,526,TON,2020
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2020
140,32,JAWA BARAT,3205,KABUPATEN GARUT,1207,TON,2020
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,43,TON,2020
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7,TON,2020
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,114,TON,2020
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,2249,TON,2020
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1861,TON,2020
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,220,TON,2020
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,721,TON,2020
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,101,TON,2020
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,80,TON,2020
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,143,TON,2020
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2020
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,TON,2020
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,224,TON,2020
154,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2020
155,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2020
156,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2020
157,32,JAWA BARAT,3274,KOTA CIREBON,5,TON,2020
158,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2020
159,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2020
160,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2020
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,163,TON,2020
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,140,TON,2021
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,120,TON,2021
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,255,TON,2021
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2021
167,32,JAWA BARAT,3205,KABUPATEN GARUT,769,TON,2021
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12,TON,2021
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,163,TON,2021
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,110,TON,2021
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,1962,TON,2021
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1653,TON,2021
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,143,TON,2021
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,104,TON,2021
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,75,TON,2021
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,175,TON,2021
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,436,TON,2021
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,2,TON,2021
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5,TON,2021
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,199,TON,2021
181,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2021
182,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2021
183,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2021
184,32,JAWA BARAT,3274,KOTA CIREBON,1,TON,2021
185,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2021
186,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2021
187,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2021
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2021
189,32,JAWA BARAT,3279,KOTA BANJAR,63,TON,2021
