id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_panen,satuan,tahun
75,32,JAWA BARAT,3273,KOTA BANDUNG,13,HEKTAR,2017
76,32,JAWA BARAT,3274,KOTA CIREBON,4,HEKTAR,2017
77,32,JAWA BARAT,3275,KOTA BEKASI,23,HEKTAR,2017
78,32,JAWA BARAT,3276,KOTA DEPOK,39,HEKTAR,2017
79,32,JAWA BARAT,3277,KOTA CIMAHI,40,HEKTAR,2017
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,212,HEKTAR,2017
81,32,JAWA BARAT,3279,KOTA BANJAR,36,HEKTAR,2017
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,4502,HEKTAR,2018
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,4727,HEKTAR,2018
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4518,HEKTAR,2018
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4499,HEKTAR,2018
86,32,JAWA BARAT,3205,KABUPATEN GARUT,20860,HEKTAR,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6035,HEKTAR,2018
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2835,HEKTAR,2018
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1715,HEKTAR,2018
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,25,HEKTAR,2018
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,188,HEKTAR,2018
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7305,HEKTAR,2018
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,103,HEKTAR,2018
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,640,HEKTAR,2018
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1477,HEKTAR,2018
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,98,HEKTAR,2018
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,75,HEKTAR,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2615,HEKTAR,2018
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,69,HEKTAR,2018
100,32,JAWA BARAT,3271,KOTA BOGOR,232,HEKTAR,2018
101,32,JAWA BARAT,3272,KOTA SUKABUMI,12,HEKTAR,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,27,HEKTAR,2018
103,32,JAWA BARAT,3274,KOTA CIREBON,10,HEKTAR,2018
104,32,JAWA BARAT,3275,KOTA BEKASI,14,HEKTAR,2018
105,32,JAWA BARAT,3276,KOTA DEPOK,26,HEKTAR,2018
106,32,JAWA BARAT,3277,KOTA CIMAHI,23,HEKTAR,2018
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,150,HEKTAR,2018
108,32,JAWA BARAT,3279,KOTA BANJAR,105,HEKTAR,2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,4011,HEKTAR,2019
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,4554,HEKTAR,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3513,HEKTAR,2019
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2300,HEKTAR,2019
113,32,JAWA BARAT,3205,KABUPATEN GARUT,20838,HEKTAR,2019
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2039,HEKTAR,2019
