id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_areal_tanam,satuan,tahun
75,32,JAWA BARAT,3273,KOTA BANDUNG,15,HEKTAR,2017
76,32,JAWA BARAT,3274,KOTA CIREBON,4,HEKTAR,2017
77,32,JAWA BARAT,3275,KOTA BEKASI,22,HEKTAR,2017
78,32,JAWA BARAT,3276,KOTA DEPOK,45,HEKTAR,2017
79,32,JAWA BARAT,3277,KOTA CIMAHI,30,HEKTAR,2017
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,90,HEKTAR,2017
81,32,JAWA BARAT,3279,KOTA BANJAR,85,HEKTAR,2017
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,4554,HEKTAR,2018
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,4448,HEKTAR,2018
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3489,HEKTAR,2018
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3534,HEKTAR,2018
86,32,JAWA BARAT,3205,KABUPATEN GARUT,19937,HEKTAR,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2948,HEKTAR,2018
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2243,HEKTAR,2018
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1695,HEKTAR,2018
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,24,HEKTAR,2018
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,204,HEKTAR,2018
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7298,HEKTAR,2018
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,100,HEKTAR,2018
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,678,HEKTAR,2018
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1476,HEKTAR,2018
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,116,HEKTAR,2018
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,59,HEKTAR,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2416,HEKTAR,2018
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,84,HEKTAR,2018
100,32,JAWA BARAT,3271,KOTA BOGOR,251,HEKTAR,2018
101,32,JAWA BARAT,3272,KOTA SUKABUMI,10,HEKTAR,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,8,HEKTAR,2018
103,32,JAWA BARAT,3274,KOTA CIREBON,9,HEKTAR,2018
104,32,JAWA BARAT,3275,KOTA BEKASI,12,HEKTAR,2018
105,32,JAWA BARAT,3276,KOTA DEPOK,22,HEKTAR,2018
106,32,JAWA BARAT,3277,KOTA CIMAHI,25,HEKTAR,2018
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,197,HEKTAR,2018
108,32,JAWA BARAT,3279,KOTA BANJAR,84,HEKTAR,2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,3584,HEKTAR,2019
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3727,HEKTAR,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3594,HEKTAR,2019
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2995,HEKTAR,2019
113,32,JAWA BARAT,3205,KABUPATEN GARUT,20916,HEKTAR,2019
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2948,HEKTAR,2019
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2620,HEKTAR,2019
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1703,HEKTAR,2019
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,34,HEKTAR,2019
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,223,HEKTAR,2019
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6872,HEKTAR,2019
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,7,HEKTAR,2019
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,576,HEKTAR,2019
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,970,HEKTAR,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,67,HEKTAR,2019
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,29,HEKTAR,2019
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2496,HEKTAR,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,64,HEKTAR,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,234,HEKTAR,2019
