id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_kedelai,satuan,tahun
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,23498,TON,2018
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11729,TON,2018
86,32,JAWA BARAT,3205,KABUPATEN GARUT,15172,TON,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,16806,TON,2018
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2966,TON,2018
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1352,TON,2018
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,799,TON,2018
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3933,TON,2018
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8877,TON,2018
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,12827,TON,2018
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,1430,TON,2018
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1613,TON,2018
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5858,TON,2018
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,73,TON,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5523,TON,2018
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4389,TON,2018
100,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2018
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2018
103,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2018
104,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2018
105,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2018
106,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2018
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,57,TON,2018
108,32,JAWA BARAT,3279,KOTA BANJAR,1379,TON,2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,386,TON,2019
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8952,TON,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8666,TON,2019
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3215,TON,2019
113,32,JAWA BARAT,3205,KABUPATEN GARUT,15048,TON,2019
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6267,TON,2019
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1092,TON,2019
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,392,TON,2019
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,556,TON,2019
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2439,TON,2019
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3288,TON,2019
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,30,TON,2019
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,280,TON,2019
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,465,TON,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3228,TON,2019
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2019
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5015,TON,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,193,TON,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2019
128,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2019
130,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2019
131,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2019
132,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2019
133,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2019
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2019
135,32,JAWA BARAT,3279,KOTA BANJAR,82,TON,2019
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,19,TON,2020
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,41351,TON,2020
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,20088,TON,2020
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1197,TON,2020
140,32,JAWA BARAT,3205,KABUPATEN GARUT,8676,TON,2020
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7448,TON,2020
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,67,TON,2020
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1135,TON,2020
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,134,TON,2020
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5370,TON,2020
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3778,TON,2020
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,8,TON,2020
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,TON,2020
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1269,TON,2020
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,151,TON,2020
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2020
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1638,TON,2020
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,281,TON,2020
154,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2020
155,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2020
156,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2020
157,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2020
158,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2020
159,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2020
160,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2020
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,149,TON,2020
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,14,TON,2021
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,4338,TON,2021
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8091,TON,2021
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,455,TON,2021
167,32,JAWA BARAT,3205,KABUPATEN GARUT,2230,TON,2021
