id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_kedelai,satuan,tahun
27,32,JAWA BARAT,3279,KOTA BANJAR,75,TON,2015
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,1243,TON,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6560,TON,2016
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10918,TON,2016
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1077,TON,2016
32,32,JAWA BARAT,3205,KABUPATEN GARUT,33508,TON,2016
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3935,TON,2016
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3072,TON,2016
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1248,TON,2016
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,47,TON,2016
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,911,TON,2016
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4259,TON,2016
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,109,TON,2016
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,1349,TON,2016
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,754,TON,2016
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,529,TON,2016
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,201,TON,2016
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,285,TON,2016
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,343,TON,2016
46,32,JAWA BARAT,3271,KOTA BOGOR,60,TON,2016
47,32,JAWA BARAT,3272,KOTA SUKABUMI,6,TON,2016
48,32,JAWA BARAT,3273,KOTA BANDUNG,17,TON,2016
49,32,JAWA BARAT,3274,KOTA CIREBON,3,TON,2016
50,32,JAWA BARAT,3275,KOTA BEKASI,23,TON,2016
51,32,JAWA BARAT,3276,KOTA DEPOK,42,TON,2016
52,32,JAWA BARAT,3277,KOTA CIMAHI,8,TON,2016
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,59,TON,2016
54,32,JAWA BARAT,3279,KOTA BANJAR,110,TON,2016
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,1207,TON,2017
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,5127,TON,2017
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6461,TON,2017
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,615,TON,2017
59,32,JAWA BARAT,3205,KABUPATEN GARUT,23082,TON,2017
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,4399,TON,2017
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1932,TON,2017
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,705,TON,2017
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,141,TON,2017
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,783,TON,2017
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,5163,TON,2017
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,92,TON,2017
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,196,TON,2017
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,301,TON,2017
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,82,TON,2017
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,126,TON,2017
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,419,TON,2017
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,288,TON,2017
73,32,JAWA BARAT,3271,KOTA BOGOR,72,TON,2017
74,32,JAWA BARAT,3272,KOTA SUKABUMI,4,TON,2017
75,32,JAWA BARAT,3273,KOTA BANDUNG,20,TON,2017
76,32,JAWA BARAT,3274,KOTA CIREBON,4,TON,2017
77,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2017
78,32,JAWA BARAT,3276,KOTA DEPOK,24,TON,2017
79,32,JAWA BARAT,3277,KOTA CIMAHI,10,TON,2017
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,93,TON,2017
81,32,JAWA BARAT,3279,KOTA BANJAR,101,TON,2017
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,1080,TON,2018
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3053,TON,2018
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,5290,TON,2018
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,420,TON,2018
86,32,JAWA BARAT,3205,KABUPATEN GARUT,14363,TON,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2836,TON,2018
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,809,TON,2018
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,611,TON,2018
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,92,TON,2018
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,543,TON,2018
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3960,TON,2018
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,29,TON,2018
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,539,TON,2018
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,214,TON,2018
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7,TON,2018
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,54,TON,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,508,TON,2018
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,116,TON,2018
100,32,JAWA BARAT,3271,KOTA BOGOR,120,TON,2018
101,32,JAWA BARAT,3272,KOTA SUKABUMI,4,TON,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,2,TON,2018
103,32,JAWA BARAT,3274,KOTA CIREBON,7,TON,2018
104,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2018
105,32,JAWA BARAT,3276,KOTA DEPOK,5,TON,2018
106,32,JAWA BARAT,3277,KOTA CIMAHI,11,TON,2018
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,101,TON,2018
108,32,JAWA BARAT,3279,KOTA BANJAR,132,TON,2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,1227,TON,2019
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2381,TON,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4212,TON,2019
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,506,TON,2019
113,32,JAWA BARAT,3205,KABUPATEN GARUT,16322,TON,2019
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2242,TON,2019
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,839,TON,2019
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,514,TON,2019
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,54,TON,2019
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,573,TON,2019
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4835,TON,2019
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,26,TON,2019
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,239,TON,2019
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,282,TON,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,382,TON,2019
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,8,TON,2019
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,407,TON,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,176,TON,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,125,TON,2019
128,32,JAWA BARAT,3272,KOTA SUKABUMI,4,TON,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,12,TON,2019
130,32,JAWA BARAT,3274,KOTA CIREBON,2,TON,2019
131,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2019
132,32,JAWA BARAT,3276,KOTA DEPOK,6,TON,2019
133,32,JAWA BARAT,3277,KOTA CIMAHI,12,TON,2019
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,256,TON,2019
135,32,JAWA BARAT,3279,KOTA BANJAR,190,TON,2019
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,1097,TON,2020
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6227,TON,2020
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3605,TON,2020
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1414,TON,2020
140,32,JAWA BARAT,3205,KABUPATEN GARUT,13589,TON,2020
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2993,TON,2020
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,956,TON,2020
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,801,TON,2020
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,165,TON,2020
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,674,TON,2020
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4196,TON,2020
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,19,TON,2020
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,1398,TON,2020
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,251,TON,2020
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,185,TON,2020
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,1,TON,2020
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,780,TON,2020
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,344,TON,2020
154,32,JAWA BARAT,3271,KOTA BOGOR,155,TON,2020
155,32,JAWA BARAT,3272,KOTA SUKABUMI,3,TON,2020
156,32,JAWA BARAT,3273,KOTA BANDUNG,13,TON,2020
157,32,JAWA BARAT,3274,KOTA CIREBON,3,TON,2020
158,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2020
159,32,JAWA BARAT,3276,KOTA DEPOK,12,TON,2020
160,32,JAWA BARAT,3277,KOTA CIMAHI,21,TON,2020
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,416,TON,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,352,TON,2020
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,1167,TON,2021
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,4186,TON,2021
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3654,TON,2021
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2005,TON,2021
167,32,JAWA BARAT,3205,KABUPATEN GARUT,18357,TON,2021
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1377,TON,2021
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,711,TON,2021
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,412,TON,2021
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,51,TON,2021
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,392,TON,2021
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4730,TON,2021
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2021
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,693,TON,2021
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,171,TON,2021
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,262,TON,2021
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2021
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,410,TON,2021
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,314,TON,2021
181,32,JAWA BARAT,3271,KOTA BOGOR,150,TON,2021
182,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2021
183,32,JAWA BARAT,3273,KOTA BANDUNG,5,TON,2021
184,32,JAWA BARAT,3274,KOTA CIREBON,3,TON,2021
185,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2021
186,32,JAWA BARAT,3276,KOTA DEPOK,11,TON,2021
187,32,JAWA BARAT,3277,KOTA CIMAHI,19,TON,2021
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,146,TON,2021
189,32,JAWA BARAT,3279,KOTA BANJAR,155,TON,2021
