id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,satuan,tahun,luas_areal_tanam_kacang_hijau,luas_areal_tanam_ubi_kayu,luas_areal_tanam_ubi_jalar,luas_areal_tanam_kedelai,luas_areal_tanam_kacang_tanah
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HEKTAR,2017,6,4746,1143,4329,2479
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HEKTAR,2017,964,2612,309,1051,472
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HEKTAR,2017,23,1825,5320,191,428
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,HEKTAR,2017,1817,14,125,163,58
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HEKTAR,2017,1631,218,523,540,447
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HEKTAR,2017,128,7929,807,730,3232
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HEKTAR,2017,786,127,3,5344,42
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,HEKTAR,2017,10,565,84,211,131
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HEKTAR,2017,83,1318,241,66,192
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HEKTAR,2017,299,101,3,1403,52
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,HEKTAR,2017,3,95,25,7,90
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HEKTAR,2017,30,2417,326,544,211
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HEKTAR,2017,518,60,68,672,228
73,32,JAWA BARAT,3271,KOTA BOGOR,HEKTAR,2017,0,194,114,0,49
74,32,JAWA BARAT,3272,KOTA SUKABUMI,HEKTAR,2017,0,14,24,0,3
75,32,JAWA BARAT,3273,KOTA BANDUNG,HEKTAR,2017,0,15,7,0,13
76,32,JAWA BARAT,3274,KOTA CIREBON,HEKTAR,2017,2,4,0,0,2
77,32,JAWA BARAT,3275,KOTA BEKASI,HEKTAR,2017,0,22,8,1,0
78,32,JAWA BARAT,3276,KOTA DEPOK,HEKTAR,2017,0,45,20,0,21
79,32,JAWA BARAT,3277,KOTA CIMAHI,HEKTAR,2017,0,30,13,0,6
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HEKTAR,2017,0,90,50,310,70
81,32,JAWA BARAT,3279,KOTA BANJAR,HEKTAR,2017,42,85,60,161,69
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,HEKTAR,2018,229,4554,3016,351,869
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HEKTAR,2018,3,4448,777,29785,2480
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HEKTAR,2018,102,3489,339,19323,4358
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HEKTAR,2018,0,3534,1322,8584,548
86,32,JAWA BARAT,3205,KABUPATEN GARUT,HEKTAR,2018,822,19937,5486,10133,10053
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HEKTAR,2018,107,2948,908,13478,2054
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HEKTAR,2018,2307,2243,246,2353,967
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HEKTAR,2018,12,1695,4632,1225,418
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,HEKTAR,2018,1690,24,268,749,73
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HEKTAR,2018,2736,204,409,2555,386
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HEKTAR,2018,66,7298,792,5894,2947
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HEKTAR,2018,550,100,4,7075,27
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,HEKTAR,2018,164,678,130,1017,422
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HEKTAR,2018,68,1476,235,1171,194
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HEKTAR,2018,255,116,1,3713,7
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,HEKTAR,2018,4,59,9,92,58
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HEKTAR,2018,19,2416,465,3963,347
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HEKTAR,2018,636,84,42,3162,125
100,32,JAWA BARAT,3271,KOTA BOGOR,HEKTAR,2018,0,251,171,0,98
101,32,JAWA BARAT,3272,KOTA SUKABUMI,HEKTAR,2018,0,10,22,0,3
102,32,JAWA BARAT,3273,KOTA BANDUNG,HEKTAR,2018,0,8,10,0,4
103,32,JAWA BARAT,3274,KOTA CIREBON,HEKTAR,2018,4,9,0,0,7
104,32,JAWA BARAT,3275,KOTA BEKASI,HEKTAR,2018,0,12,4,0,0
105,32,JAWA BARAT,3276,KOTA DEPOK,HEKTAR,2018,0,22,4,0,4
106,32,JAWA BARAT,3277,KOTA CIMAHI,HEKTAR,2018,0,25,10,0,10
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HEKTAR,2018,0,197,61,44,100
108,32,JAWA BARAT,3279,KOTA BANJAR,HEKTAR,2018,114,84,75,863,129
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,HEKTAR,2019,45,3584,2298,296,811
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HEKTAR,2019,68,3727,519,5702,1839
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HEKTAR,2019,103,3594,377,5237,3451
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HEKTAR,2019,0,2995,1410,1751,392
113,32,JAWA BARAT,3205,KABUPATEN GARUT,HEKTAR,2019,960,20916,5905,9502,11816
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HEKTAR,2019,57,2948,790,4878,1890
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HEKTAR,2019,146,2620,182,704,643
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HEKTAR,2019,101,1703,4746,408,383
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,HEKTAR,2019,1773,34,359,388,58
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HEKTAR,2019,1669,223,384,1275,373
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HEKTAR,2019,46,6872,686,2286,3460
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HEKTAR,2019,195,7,0,21,25
