id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,satuan,tahun,luas_panen_kedelai,luas_panen_kacang_tanah,luas_panen_kacang_hijau,luas_panen_ubi_kayu,luas_panen_ubi_jalar
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HEKTAR,2017,1066,859,963,2530,319
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HEKTAR,2017,191,438,25,1817,5667
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,HEKTAR,2017,163,58,1850,12,188
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HEKTAR,2017,540,449,1631,256,525
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HEKTAR,2017,730,3227,128,7380,900
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HEKTAR,2017,5189,41,786,379,2
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,HEKTAR,2017,190,135,10,771,123
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HEKTAR,2017,51,190,84,1875,254
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HEKTAR,2017,1495,45,301,139,2
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,HEKTAR,2017,0,91,4,100,14
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HEKTAR,2017,550,210,29,2692,333
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HEKTAR,2017,317,226,516,113,55
73,32,JAWA BARAT,3271,KOTA BOGOR,HEKTAR,2017,0,54,0,237,134
74,32,JAWA BARAT,3272,KOTA SUKABUMI,HEKTAR,2017,0,3,0,16,24
75,32,JAWA BARAT,3273,KOTA BANDUNG,HEKTAR,2017,0,18,0,13,11
76,32,JAWA BARAT,3274,KOTA CIREBON,HEKTAR,2017,0,2,2,4,0
77,32,JAWA BARAT,3275,KOTA BEKASI,HEKTAR,2017,1,0,0,23,6
78,32,JAWA BARAT,3276,KOTA DEPOK,HEKTAR,2017,0,21,0,39,19
79,32,JAWA BARAT,3277,KOTA CIMAHI,HEKTAR,2017,0,7,0,40,10
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HEKTAR,2017,310,71,0,212,50
81,32,JAWA BARAT,3279,KOTA BANJAR,HEKTAR,2017,161,69,42,36,60
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,HEKTAR,2018,287,866,229,4502,2949
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HEKTAR,2018,27920,2470,12,4727,769
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HEKTAR,2018,19626,4183,97,4518,369
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HEKTAR,2018,8465,522,0,4499,1402
86,32,JAWA BARAT,3205,KABUPATEN GARUT,HEKTAR,2018,10133,10053,822,20860,5565
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HEKTAR,2018,13028,2245,107,6035,1054
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HEKTAR,2018,2024,604,2307,2835,266
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HEKTAR,2018,1141,409,10,1715,4535
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,HEKTAR,2018,683,73,2236,25,267
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HEKTAR,2018,2556,384,2736,188,383
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HEKTAR,2018,5900,2950,66,7305,728
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HEKTAR,2018,7104,28,509,103,5
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,HEKTAR,2018,1023,410,164,640,139
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HEKTAR,2018,1172,182,67,1477,223
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HEKTAR,2018,3703,7,218,98,4
